point,name,latitude,longitude,color
point,Mill Rd E/B @ California Rd (In Eastchester)(Towards HRP),40.955399,-73.802193,yellow
point,Mill Rd W/B @ California Rd (In Eastchester),40.955399,-73.80217,yellow
point,MLK Drive NB @ E Post Rd,41.027233,-73.768288,yellow
point,Mt. Vernon Ave E/B @ MacQuesten Pkwy (Going Into Mt. Vernon),40.912868,-73.8489,yellow
point,Mt. Vernon Ave W/B @ MacQuesten Pkwy(Going Into Yonkers from MV),40.913105,-73.84938,yellow
point,Municipal Pl @ S. Riverside Ave N/B,41.202174,-73.887206,yellow
point,Municipal Pl @ S. Riverside Ave S/B,41.202048,-73.887094,yellow
point,Municipal Pl E/B @ S. Riverside Ave,41.202164,-73.887011,yellow
point,Municipal Pl W/B @ S. Riverside Ave,41.202065,-73.887251,yellow
point,N. Broadway N/B @ Bond St (In White Plains),41.052246,-73.770103,yellow
point,N. Broadway S/B @ Bond St (In White Plains),41.052204,-73.770081,yellow
point,N Broadway N/B @ Dudley St (Hastings),40.977772,-73.880415,yellow
point,N Broadway S/B @ Dudley St (Hastings),40.977634,-73.880453,yellow
point,N.Main St N/B @ Putnam Ave (Going into Greenwich from PC),41.012085,-73.655472,yellow
point,N.Main St N/B @ Putnam Ave (Going Into Greenwich from PC) L,41.01207,-73.655487,yellow
point,N.Main St S/B @ Putnam Ave (In Port Chester),41.011444,-73.655853,yellow
point,N/B 727 Bronx River Road (In Yonkers),40.924442,-73.845329,yellow
point,Neperan Rd E/B @ The Pump House (In Tarrytown) (Towards SMRP),41.084068,-73.84153,yellow
point,Neperan Rd W/B @ The Pump House (In Tarrytown) (Towards Village),41.084007,-73.842064,yellow
point,Nepperhan Ave N/B @ Executive Blvd (In Yonkers),40.970074,-73.871719,yellow
point,Nepperhan Ave S/B @ Executive Blvd (In Yonkers),40.969746,-73.871788,yellow
point,North Ave N/B @ Lovell Rd (In New Rochelle/Towards the Hutch),40.94949,-73.796219,yellow
point,North Ave N/B @ Wilmot Rd (In New Rochelle),40.953674,-73.796616,yellow
point,North Ave S/B @ Lovell Rd (In New Rochelle/Towards Quaker Ridge),40.949505,-73.796204,yellow
point,North Ave S/B @ Northfield Rd (In New Rochelle),40.946629,-73.795609,yellow
point,North Ave S/B @ Wilmot Rd (In New Rochelle/Towards the Hutch),40.953625,-73.796638,yellow
point,North Ridge St S/B @ King St (In Rye Brook),41.036449,-73.676193,yellow
point,North St S/B @ Bryant Ave (In White Plains),41.022392,-73.741043,yellow
point,North St W/B @ Theodore Fremd Ave(Going Into Harrison from Rye),40.977425,-73.695396,yellow
point,Old White Plains Rd N/B @ Pelham St (by 95) (In V/Mamaroneck),40.956609,-73.741295,yellow
point,Oak St W/B @  North West St (Going into Yonkers from Mt. Vernon),40.914703,-73.848137,yellow
point,Ogden Rd E/B @ the BRP (In Scarsdale),40.996914,-73.803741,yellow
point,Oregon Rd E/B @ School St (In Cortlandt),41.329887,-73.880249,yellow
point,Palmer Ave E/B @ Spencer Dr (In New Rochelle/Towards Larchmont),40.926975,-73.766518,yellow
point,Palmer Ave W/B @ Spencer Dr (Going into New Rochelle),40.926979,-73.766495,yellow
point,Parking Booth (Driving Away-Leaving Park// Toward-Entering Park),40.926193,-73.8759,yellow
point,Payne St E/B @ Rt 9A (In Greenburgh),41.06192,-73.814636,yellow
point,Peekskill Hollow Rd EB @ Mill St (Putnam),41.353541,-73.839796,yellow
point,Peekskill Hollow Rd WB @ Mill St (Putnam),41.35358,-73.839847,yellow
point,Mill St SB @ Peekskill Hollow Rd (Putnam),41.353463,-73.839833,yellow
point,Pelham Rd W/B @ Pelhamdale Ave (Into Bronx from New Rochelle),40.887825,-73.790382,yellow
point,Playland PKWY E/B @ Forest Ave (Going Into Park),40.965652,-73.680885,yellow
point,Playland PKWY W/B @ Forest Ave (In Rye),40.965706,-73.681091,yellow
point,Pleasantville Rd N/B @ North State Rd (In Brarcliff),41.150772,-73.830864,yellow
point,Pleasantville Rd S/B @ North State Rd (In Briarcliff),41.150684,-73.830772,yellow
point,Pleasantville Rd E/B @ Taconic (Larch Rd) (In Briarcliff),41.145038,-73.817212,yellow
point,Pleasantville Rd W/B @ Taconic (Larch Rd) (In Briarcliff),41.145048,-73.817333,yellow
point,Purchase St N/B @ Cedar St (In Rye),40.98653,-73.68409,yellow
point,Purchase St S/B @ Cedar St (In Rye),40.986301,-73.684212,yellow
point,Quaker Ridge Rd E/B @ North Ave (In New Rochelle),40.947395,-73.795944,yellow
point,Ravensdale Rd W/B @ Rt 9A (In Greenburgh),40.98769,-73.863365,yellow
point,Ridge Hill Blvd / 87 NB Service Rd (from Ridge Hill towards Stew Leonards Dr) (Yonkers),40.967096,-73.860402,yellow
point,Ridge Hill Blvd / Ridge Hill Blvd EB (entering Ridge Hill from i87) (Yonkers),40.966861,-73.859888,yellow
point,Ridge Hill Blvd / 87 SB Entrance Ramp from Ridge Hill Blvd (Yonkers),40.966852,-73.861275,yellow
point,Ridge Rd E/B @ Ridge Rd Park (In Greenburgh),41.020452,-73.813126,yellow
point,Ridge Rd N/B into Ridge Rd Park (In Greenburgh),41.020514,-73.813199,yellow
point,River Rd N/B @ Palmer Ave (In New Rochelle/Towards I95),40.915943,-73.780014,yellow
point,Riverdale Ave N/B @ the Cityline (Going into Yonkers),40.914436,-73.902168,yellow
point,Riverdale Ave S/B @ the Cityline (Going into Bronx from Yonkers),40.914036,-73.902237,yellow
point,Route 6 E/B @ the Taconic (In Yorktown),41.332565,-73.815231,yellow
point,Route 6 W/B @ the Taconic (In Yorktown),41.33268,-73.816154,yellow
point,Route 9 N/B @ Bay St (In Peekskill),41.281887,-73.929855,yellow
