point,name,latitude,longitude,color
point,Cross Hill Academy,40.9635,-73.8784,orange
point,School 5,40.948,-73.8722,orange
point,Patricia a Dichiaro School,40.9467,-73.841,orange
point,School 9,40.9443,-73.8883,orange
point,School 13,40.9137,-73.8904,orange
point,Rosmarie Ann Siragusa School,40.917,-73.8502,orange
point,School 16,40.9603,-73.8875,orange
point,School 17,40.9356,-73.8665,orange
point,Scholastic Academy for Academic Excellence,40.9281,-73.8927,orange
point,Eugenio Maria De Hostos Microsociety School,40.922,-73.8997,orange
point,School 21,40.9101,-73.8787,orange
point,School 22,40.9728,-73.8708,orange
point,School 23,40.9298,-73.8878,orange
point,Museum School 25,40.9567,-73.8953,orange
point,Casimir Pulaski School,40.9824,-73.8204,orange
point,Montessori School 27,40.9161,-73.9037,orange
point,Kahlil Gibran School,40.9606,-73.8373,orange
point,School 29,40.978,-73.8345,orange
point,School 30,40.9297,-73.8466,orange
point,Pearls Hawthorne School,40.92,-73.9026,orange
point,Cedar Place Elementary School,40.9261,-73.8962,orange
point,Thomas Cornell Academy,40.9303,-73.898,orange
point,Yonkers Early Childhood Academy,40.9627,-73.8783,orange
point,Brookside School,41.2863,-73.7809,orange
point,Crompond School,41.3049,-73.8151,orange
point,Mildred E Strang Middle School,41.2913,-73.8012,orange
point,Mohansic School,41.2973,-73.8042,orange
point,Brewster High School,41.4424,-73.6035,orange
point,Carmel High School,41.4273,-73.6764,orange
point,Haldane High School,41.4227,-73.9551,orange
point,Mahopac High School,41.3656,-73.7571,orange
point,Putnam Valley High School,41.3366,-73.8581,orange
point,Ardsley High School,41.0212,-73.8322,orange
point,Briarcliff High School,41.1344,-73.812,orange
point,Bronxville High School,40.9376,-73.8308,orange
point,Byram Hills High School,41.1355,-73.69,orange
point,Horace Greeley High School,41.1754,-73.7573,orange
point,Croton-Harmon High School,41.2067,-73.8824,orange
point,Dobbs Ferry High School,41.0176,-73.8709,orange
point,Eastchester Senior High School,40.9615,-73.8093,orange
point,Greenburgh Eleven Middle School,41.008,-73.8629,orange
point,Edgemont Junior-Senior High School,41.0021,-73.8102,orange
point,Alexander Hamilton High School,41.0496,-73.816,orange
point,Martin Luther King Jr High School,40.9796,-73.8816,orange
point,Woodlands Middle School,41.0323,-73.8083,orange
point,Woodlands Senior High School,41.0323,-73.8083,orange
point,Harrison High School,40.9814,-73.7371,orange
point,Hastings High School,40.9935,-73.8751,orange
point,Hendrick Hudson High School,41.2539,-73.9357,orange
point,Irvington High School,41.0403,-73.8605,orange
point,John Jay High School,41.2736,-73.6113,orange
point,Lakeland High School,41.3248,-73.8376,orange
point,Walter Panas High School,41.2776,-73.8593,orange
point,Mamaroneck High School,40.941,-73.7438,orange
point,Fox Lane High School,41.1922,-73.6787,orange
point,Nelson R Mandela/Dr Hosea Zollicoffer High School,40.9169,-73.838,orange
point,Mount Vernon High School,40.9258,-73.8151,orange
point,Davis Middle School,40.9195,-73.8381,orange
point,Thornton High School,40.9085,-73.8373,orange
point,Westlake High School,41.111,-73.7672,orange
